iter	Passed	Remaining
0	53	5278
1	56	2760
2	58	1884
3	60	1454
4	63	1198
5	65	1028
6	68	915
7	71	823
8	73	745
9	76	684
10	79	646
11	82	605
12	85	570
13	87	536
14	89	506
15	91	481
16	95	464
17	98	447
18	100	427
19	102	411
20	104	394
21	107	379
22	109	365
23	111	354
24	114	344
25	116	331
26	118	320
27	120	310
28	123	301
29	125	292
30	127	284
31	131	278
32	133	270
33	135	262
34	137	255
35	139	248
36	141	241
37	146	238
38	147	231
39	150	225
40	152	219
41	154	213
42	156	207
43	159	202
44	162	198
45	164	192
46	166	188
47	169	183
48	171	178
49	173	173
50	177	170
51	179	165
52	181	161
53	185	158
54	188	153
55	190	149
56	193	145
57	195	141
58	198	137
59	200	133
60	203	130
61	206	126
62	210	123
63	212	119
64	215	115
65	218	112
66	224	110
67	227	107
68	234	105
69	239	102
70	242	99
71	245	95
72	247	91
73	249	87
74	251	83
75	253	80
76	256	76
77	259	73
78	261	69
79	263	65
80	265	62
81	267	58
82	270	55
83	272	51
84	275	48
85	277	45
86	279	41
87	281	38
88	283	35
89	286	31
90	288	28
91	291	25
92	293	22
93	295	18
94	297	15
95	299	12
96	302	9
97	304	6
98	307	3
99	309	0
